Timestamp: 22:30:53.500 - Frame 108: x=-0.18, y=-0.05, z=0.73
Timestamp: 22:30:53.514 - Frame 109: x=-0.18, y=-0.05, z=0.73
Timestamp: 22:30:53.530 - Frame 110: x=-0.18, y=-0.05, z=0.73
Timestamp: 22:30:53.600 - Frame 111: x=-0.18, y=-0.05, z=0.73
Timestamp: 22:30:53.623 - Frame 112: x=-0.18, y=-0.05, z=0.73
Timestamp: 22:30:53.676 - Frame 113: x=-0.17, y=-0.05, z=0.73
Timestamp: 22:30:53.704 - Frame 114: x=-0.17, y=-0.05, z=0.73
Timestamp: 22:30:53.733 - Frame 115: x=-0.17, y=-0.05, z=0.73
Timestamp: 22:30:53.771 - Frame 116: x=-0.17, y=-0.05, z=0.74
Timestamp: 22:30:53.794 - Frame 117: x=-0.17, y=-0.05, z=0.74
Timestamp: 22:30:53.810 - Frame 118: x=-0.17, y=-0.05, z=0.74
Timestamp: 22:30:53.869 - Frame 119: x=-0.17, y=-0.05, z=0.73
Timestamp: 22:30:53.886 - Frame 120: x=-0.17, y=-0.05, z=0.73
Timestamp: 22:30:53.900 - Frame 121: x=-0.17, y=-0.05, z=0.73
Timestamp: 22:30:54.140 - Frame 122: x=-0.18, y=-0.03, z=0.73
Timestamp: 22:30:54.166 - Frame 123: x=-0.18, y=-0.03, z=0.73
Timestamp: 22:30:54.178 - Frame 124: x=-0.18, y=-0.03, z=0.73
Timestamp: 22:30:54.235 - Frame 125: x=-0.18, y=-0.04, z=0.73
Timestamp: 22:30:54.256 - Frame 126: x=-0.18, y=-0.04, z=0.73
Timestamp: 22:30:54.273 - Frame 127: x=-0.18, y=-0.04, z=0.73
Timestamp: 22:31:04.893 - Frame 128: x=-0.15, y=-0.09, z=0.73
Timestamp: 22:31:04.917 - Frame 129: x=-0.15, y=-0.09, z=0.73
Timestamp: 22:31:04.930 - Frame 130: x=-0.15, y=-0.09, z=0.73
Timestamp: 22:31:04.989 - Frame 131: x=-0.14, y=-0.08, z=0.73
Timestamp: 22:31:05.008 - Frame 132: x=-0.14, y=-0.08, z=0.73
Timestamp: 22:31:05.026 - Frame 133: x=-0.14, y=-0.08, z=0.73
Timestamp: 22:31:05.084 - Frame 134: x=-0.14, y=-0.08, z=0.73
Timestamp: 22:31:05.105 - Frame 135: x=-0.14, y=-0.08, z=0.73
Timestamp: 22:31:05.132 - Frame 136: x=-0.14, y=-0.08, z=0.73
Timestamp: 22:31:05.167 - Frame 137: x=-0.14, y=-0.08, z=0.73
Timestamp: 22:31:05.194 - Frame 138: x=-0.14, y=-0.08, z=0.73
Timestamp: 22:31:05.356 - Frame 139: x=-0.13, y=-0.06, z=0.73
Timestamp: 22:31:05.380 - Frame 140: x=-0.13, y=-0.06, z=0.73
Timestamp: 22:31:05.395 - Frame 141: x=-0.13, y=-0.06, z=0.73
Timestamp: 22:31:05.452 - Frame 142: x=-0.13, y=-0.06, z=0.73
Timestamp: 22:31:05.472 - Frame 143: x=-0.13, y=-0.06, z=0.73
Timestamp: 22:31:05.486 - Frame 144: x=-0.13, y=-0.06, z=0.73
Timestamp: 22:31:05.721 - Frame 145: x=-0.15, y=-0.07, z=0.74
Timestamp: 22:31:05.734 - Frame 146: x=-0.15, y=-0.07, z=0.74
Timestamp: 22:31:05.750 - Frame 147: x=-0.15, y=-0.07, z=0.74
Timestamp: 22:31:06.367 - Frame 148: x=-0.03, y=-0.02, z=0.72
Timestamp: 22:31:06.386 - Frame 149: x=-0.03, y=-0.02, z=0.72
Timestamp: 22:31:06.459 - Frame 150: x=-0.03, y=-0.02, z=0.72
Timestamp: 22:31:06.477 - Frame 151: x=-0.03, y=-0.02, z=0.72
Timestamp: 22:31:06.497 - Frame 152: x=-0.03, y=-0.02, z=0.72
Timestamp: 22:31:07.003 - Frame 153: x=-0.01, y=0.03, z=0.69
Timestamp: 22:31:07.023 - Frame 154: x=-0.01, y=0.03, z=0.69
Timestamp: 22:31:07.039 - Frame 155: x=-0.01, y=0.03, z=0.69
Timestamp: 22:31:07.099 - Frame 156: x=-0.01, y=0.03, z=0.69
Timestamp: 22:31:07.118 - Frame 157: x=-0.01, y=0.03, z=0.69
Timestamp: 22:31:07.133 - Frame 158: x=-0.01, y=0.03, z=0.69
Timestamp: 22:31:07.198 - Frame 159: x=-0.00, y=0.03, z=0.69
Timestamp: 22:31:07.227 - Frame 160: x=-0.00, y=0.03, z=0.69
Timestamp: 22:31:07.275 - Frame 161: x=-0.00, y=0.03, z=0.69
Timestamp: 22:31:07.289 - Frame 162: x=-0.00, y=0.03, z=0.69
Timestamp: 22:31:07.305 - Frame 163: x=-0.00, y=0.03, z=0.69
Timestamp: 22:31:07.370 - Frame 164: x=-0.00, y=0.03, z=0.69
Timestamp: 22:31:07.396 - Frame 165: x=-0.00, y=0.03, z=0.69
Timestamp: 22:31:07.413 - Frame 166: x=-0.00, y=0.03, z=0.69
Timestamp: 22:31:07.468 - Frame 167: x=-0.00, y=0.03, z=0.69
Timestamp: 22:31:07.490 - Frame 168: x=-0.00, y=0.03, z=0.69
Timestamp: 22:31:07.505 - Frame 169: x=-0.00, y=0.03, z=0.69
Timestamp: 22:31:07.566 - Frame 170: x=0.00, y=0.03, z=0.70
Timestamp: 22:31:07.581 - Frame 171: x=0.00, y=0.03, z=0.70
Timestamp: 22:31:07.643 - Frame 172: x=0.01, y=0.02, z=0.70
Timestamp: 22:31:07.656 - Frame 173: x=0.01, y=0.02, z=0.70
Timestamp: 22:31:07.674 - Frame 174: x=0.01, y=0.02, z=0.70
Timestamp: 22:31:07.739 - Frame 175: x=0.01, y=0.02, z=0.70
